Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceResult
Main labor group,Male,Single,Bachelor,Marketing,Sales Executive,Very High,Very High,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Master,Marketing,Sales Executive,Very High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,Very High,High,Better,Gold range,Gold range,Exceed Expectation
Middle-aged labor group,Male,Divorced,Master,Human Resources,Manager,Medium,Medium,Good,Diamond range,Silver range,Meet Expectation
Old labor group,Male,Single,Master,Marketing,Sales Executive,Low,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Developer,Very High,High,Good,Silver range,Silver range,Exceed Expectation
Middle-aged labor group,Male,Married,Master,Marketing,Sales Representative,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,College,Life Sciences,Developer,Low,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Developer,Low,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Developer,High,Very High,Best,Silver range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Developer,Low,High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Medical,Sales Executive,Very High,Very High,Good,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Doctor,Marketing,Sales Executive,High,Very High,Good,Silver range,Silver range,Exceed Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Sales Representative,High,High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Medical,Developer,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,College,Medical,Developer,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Human Resources,Human Resources,High,High,Bad,Gold range,Copper range,Meet Expectation
Old labor group,Male,Married,Bachelor,Medical,Developer,High,High,Good,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Single,Below College,Medical,Developer,Very High,Very High,Good,Copper range,Copper range,Exceed Expectation
Main labor group,Female,Single,Bachelor,Medical,Developer,Very High,Low,Bad,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Marketing,Sales Representative,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Old labor group,Male,Single,Bachelor,Life Sciences,Developer,Very High,Very High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Master,Life Sciences,Senior Developer,Very High,Low,Best,Gold range,no exps,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Developer,Low,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Doctor,Life Sciences,Developer,Medium,High,Better,Silver range,no exps,Meet Expectation
Old labor group,Male,Married,Master,Marketing,Manager,High,Low,Best,Diamond range,Silver range,Outstanding
Main labor group,Male,Single,Master,Other,Developer,Very High,High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Below College,Medical,Sales Executive,High,Medium,Good,Silver range,Copper range,Outstanding
Middle-aged labor group,Male,Single,College,Technical Degree,Sales Representative,Medium,Low,Better,Silver range,Silver range,Meet Expectation
Young labor group,Male,Single,Below College,Medical,Developer,Low,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,College,Life Sciences,Sales Executive,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Other,Sales Executive,Very High,High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Single,Master,Life Sciences,Sales Executive,Low,Medium,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Married,Master,Medical,Developer,Very High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,College,Life Sciences,Developer,Low,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Developer,Medium,Low,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Technical Degree,Sales Executive,Very High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Developer,Medium,High,Better,Silver range,Copper range,Meet Expectation
Old labor group,Female,Divorced,Master,Medical,Developer,Very High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Marketing,Sales Executive,High,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Below College,Life Sciences,Developer,Very High,Medium,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Developer,Low,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Single,Master,Medical,Developer,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Sales Representative,Low,Medium,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,College,Medical,Developer,High,Very High,Better,Silver range,Silver range,Exceed Expectation
Main labor group,Female,Married,College,Life Sciences,Sales Executive,High,Medium,Better,Silver range,Copper range,Meet Expectation
Young labor group,Male,Divorced,Bachelor,Life Sciences,Senior Developer,High,High,Better,Copper range,no exps,Meet Expectation
Old labor group,Female,Married,Master,Life Sciences,Senior Developer,Very High,Medium,Better,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Developer,High,Very High,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Female,Married,College,Life Sciences,Developer,Medium,Very High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,High,Very High,Best,Gold range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Marketing,Sales Executive,Low,High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,College,Other,Developer,High,High,Good,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Married,Bachelor,Other,Developer,High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Senior Developer,High,High,Better,Silver range,Silver range,Exceed Expectation
Main labor group,Female,Single,Master,Life Sciences,Senior Developer,Very High,High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,College,Life Sciences,Developer,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Developer,High,Very High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Human Resources,Human Resources,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Developer,Low,Very High,Better,Silver range,no exps,Meet Expectation
